Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
Model:,LI-7810,,,,,,,,,,,,,,,,,,,,
SN:,TG10-01593,,,,,,,,,,,,,,,,,,,,
Software Version:,2.3.8,,,,,,,,,,,,,,,,,,,,
Timestamp:,2023-10-09 09:55:56,,,,,,,,,,,,,,,,,,,,
Timezone:,US/Eastern,,,,,,,,,,,,,,,,,,,,
DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1696859821,111181974,269,256,,2023-10-09,09:57:01,nan,nan,nan,101.387,22.2828,101.056,37.3094,0,0,22.1221,-16000,0,16.1349,138
DATA,1696859822,110871076,273,256,,2023-10-09,09:57:02,nan,nan,nan,101.39,22.3028,101.058,37.3098,0,0,22.1438,-16000,0,16.1341,80
DATA,1696859823,110871076,277,256,,2023-10-09,09:57:03,nan,nan,nan,101.391,22.3224,101.061,37.3098,0,0,22.1656,-16000,0,16.1329,135
DATA,1696859824,110871076,281,256,,2023-10-09,09:57:04,nan,nan,nan,101.388,22.3419,101.057,37.3098,0,0,22.1873,-16000,0,16.1325,146
DATA,1696859825,110871076,285,256,,2023-10-09,09:57:05,nan,nan,nan,101.389,22.3617,101.059,37.3102,0,0,22.2097,-16000,0,16.1317,141
DATA,1696859826,110871076,289,256,,2023-10-09,09:57:06,nan,nan,nan,101.39,22.3813,101.06,37.3106,0,0,22.2314,-16000,0,16.1306,27
DATA,1696859827,110871076,293,256,,2023-10-09,09:57:07,nan,nan,nan,101.391,22.401,101.061,37.3106,0,0,22.2531,-16000,0,16.1294,71
DATA,1696859828,110871076,297,256,,2023-10-09,09:57:08,nan,nan,nan,101.392,22.42,101.061,37.3106,0,0,22.2748,-16000,0,16.129,245
DATA,1696859829,110580921,301,256,,2023-10-09,09:57:09,nan,nan,nan,101.39,22.4384,101.059,37.3113,0,0,22.2954,-16000,0,16.1274,86
DATA,1696859830,110580921,305,256,,2023-10-09,09:57:10,nan,nan,nan,101.391,22.4565,101.061,37.3113,0,0,22.3162,-16000,0,16.1266,110
DATA,1696859831,110580921,309,256,,2023-10-09,09:57:11,nan,nan,nan,101.394,22.4752,101.064,37.3113,0,0,22.3378,-16000,0,16.1255,127
