Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22
Model:,LI-7810,,,,,,,,,,,,,,,,,,,,
SN:,TG10-01593,,,,,,,,,,,,,,,,,,,,
Software Version:,2.3.8,,,,,,,,,,,,,,,,,,,,
Timestamp:,2023-07-06 12:50:04,,,,,,,,,,,,,,,,,,,,
Timezone:,US/Eastern,,,,,,,,,,,,,,,,,,,,
DATAH,SECONDS,NANOSECONDS,NDX,DIAG,REMARK,DATE,TIME,H2O,CO2,CH4,CAVITY_P,CAVITY_T,LASER_PHASE_P,LASER_T,RESIDUAL,RING_DOWN_TIME,THERMAL_ENCLOSURE_T,PHASE_ERROR,LASER_T_SHIFT,INPUT_VOLTAGE,CHK
DATAU,secs,nsecs,index,diag,,date,time,ppm,ppm,ppb,kPa,°C,kPa,°C,,µsecs,°C,counts,°C,V,CHK
DATA,1688662276,37236928,297,256,,2023-07-06,12:51:16,nan,nan,nan,101.382,26.4511,101.036,37.4037,0,0,26.4147,-16000,0,16.2573, 92
DATA,1688662277,36930084,301,256,,2023-07-06,12:51:17,nan,nan,nan,101.383,26.4717,101.037,37.4037,0,0,26.4367,-16000,0,16.2561, 84
DATA,1688662278,36930084,305,256,,2023-07-06,12:51:18,nan,nan,nan,101.382,26.4921,101.036,37.4037,0,0,26.4583,-16000,0,16.2557, 90
DATA,1688662279,36930084,309,256,,2023-07-06,12:51:19,nan,nan,nan,101.382,26.5113,101.036,37.4037,0,0,26.479,-16000,0,16.2538, 41
DATA,1688662280,36930084,313,256,,2023-07-06,12:51:20,nan,nan,nan,101.382,26.5305,101.035,37.4037,0,0,26.4999,-16000,0,16.253, 25
DATA,1688662281,36930084,317,256,,2023-07-06,12:51:21,nan,nan,nan,101.381,26.5504,101.034,37.4037,0,0,26.5217,-16000,0,16.2518, 68
DATA,1688662282,36930084,321,256,,2023-07-06,12:51:22,nan,nan,nan,101.38,26.5705,101.035,37.4037,0,0,26.5436,-16000,0,16.2506, 20
DATA,1688662283,36930084,325,256,,2023-07-06,12:51:23,nan,nan,nan,101.381,26.5906,101.035,37.4037,0,0,26.5657,-16000,0,16.2494, 89
DATA,1688662284,36930084,329,256,,2023-07-06,12:51:24,nan,nan,nan,101.381,26.61,101.036,37.4037,0,0,26.5882,-16000,0,16.2483,241
DATA,1688662285,36606073,333,256,,2023-07-06,12:51:25,nan,nan,nan,101.382,26.6295,101.036,37.4037,0,0,26.6098,-16000,0,16.2471, 89
DATA,1688662286,36606073,337,256,,2023-07-06,12:51:26,nan,nan,nan,101.383,26.6489,101.034,37.4037,0,0,26.6317,-16000,0,16.2463, 94
DATA,1688662287,36606073,341,256,,2023-07-06,12:51:27,nan,nan,nan,101.383,26.6675,101.037,37.4037,0,0,26.6524,-16000,0,16.2455, 92
DATA,1688662288,36606073,345,256,,2023-07-06,12:51:28,nan,nan,nan,101.385,26.6857,101.037,37.4037,0,0,26.6735,-16000,0,16.2443,103
DATA,1688662289,36606073,349,256,,2023-07-06,12:51:29,nan,nan,nan,101.383,26.7049,101.036,37.4037,0,0,26.6952,-16000,0,16.244, 50
DATA,1688662290,36606073,353,256,,2023-07-06,12:51:30,nan,nan,nan,101.383,26.7237,101.036,37.4037,0,0,26.7169,-16000,0,16.2428, 83
DATA,1688662291,36606073,357,256,,2023-07-06,12:51:31,nan,nan,nan,101.383,26.7429,101.036,37.4037,0,0,26.7388,-16000,0,16.242, 39
DATA,1688662292,36303043,361,256,,2023-07-06,12:51:32,nan,nan,nan,101.383,26.7623,101.036,37.4037,0,0,26.7611,-16000,0,16.2416, 65
DATA,1688662293,36303043,365,256,,2023-07-06,12:51:33,nan,nan,nan,101.381,26.781,101.035,37.4037,0,0,26.7828,-16000,0,16.2408, 29
DATA,1688662294,36303043,369,256,,2023-07-06,12:51:34,nan,nan,nan,101.381,26.7995,101.033,37.4037,0,0,26.8045,-16000,0,16.2396, 93
DATA,1688662295,36303043,373,256,,2023-07-06,12:51:35,nan,nan,nan,101.381,26.8179,101.034,37.4037,0,0,26.8264,-16000,0,16.2389, 91
DATA,1688662296,36303043,377,256,,2023-07-06,12:51:36,nan,nan,nan,101.381,26.8349,101.034,37.4037,0,0,26.8461,-16000,0,16.2377, 92
DATA,1688662297,36303043,381,256,,2023-07-06,12:51:37,nan,nan,nan,101.38,26.8534,101.032,37.4037,0,0,26.8679,-16000,0,16.2361, 38
DATA,1688662298,36303043,385,256,,2023-07-06,12:51:38,nan,nan,nan,101.378,26.8716,101.031,37.4037,0,0,26.8894,-16000,0,16.2357,104
DATA,1688662299,36303043,389,256,,2023-07-06,12:51:39,nan,nan,nan,101.378,26.8901,101.032,37.4037,0,0,26.9116,-16000,0,16.2349, 96
DATA,1688662300,35989046,393,256,,2023-07-06,12:51:40,nan,nan,nan,101.379,26.9083,101.032,37.4037,0,0,26.9336,-16000,0,16.2341, 87
DATA,1688662301,35989046,397,256,,2023-07-06,12:51:41,nan,nan,nan,101.38,26.9273,101.032,37.4037,0,0,26.9553,-16000,0,16.2334, 41
DATA,1688662302,35989046,401,256,,2023-07-06,12:51:42,nan,nan,nan,101.379,26.9453,101.031,37.4037,0,0,26.9768,-16000,0,16.2326, 93
DATA,1688662303,35989046,405,256,,2023-07-06,12:51:43,nan,nan,nan,101.379,26.9635,101.032,37.4037,0,0,26.9985,-16000,0,16.2322, 99
DATA,1688662304,35989046,409,256,,2023-07-06,12:51:44,nan,nan,nan,101.378,26.9805,101.03,37.4037,0,0,27.019,-16000,0,16.2306,243
DATA,1688662305,35989046,413,256,,2023-07-06,12:51:45,nan,nan,nan,101.379,26.9978,101.031,37.4037,0,0,27.0398,-16000,0,16.2302, 99
